"[SH]","§ 30. ཀ་ཁ་ག་ — все три представляют нечто в виде определённого члена; они употребляются по следующим правилам: 1) 4J после конечных букв: ག་ད་བ་ས་; например: ག་ཀ་ — «все шесть»; དད་ཀ་ — «весенняя пора»; བ་ཀ་ — «запад»; གས་ཀ་ — «оба»; 2) ཁ་ после конечных букв: ན་ར་ལ་; например: ན་ཁ་ — «осенняя пора»; དར་ཁ་ — «летняя пора»; ལ་ཁ་ — «победитель»; 3) ག་ после ང་མ་འ་ и после всякой гласной буквы, например: ང་ག་ — «кишки», «внутренности»; གམ་ག་ — «все три»; ་ག་ — «гора». Эти три частицы, впрочем, нередко между собой мешаются. ","","","0","","9","","","=""ཀ་""","","","","ཀ་",""
"[SH]","§ 30. ཀ་ཁ་ག་ — все три представляют нечто в виде определённого члена; они употребляются по следующим правилам: 1) 4J после конечных букв: ག་ད་བ་ས་; например: ག་ཀ་ — «все шесть»; དད་ཀ་ — «весенняя пора»; བ་ཀ་ — «запад»; གས་ཀ་ — «оба»; 2) ཁ་ после конечных букв: ན་ར་ལ་; например: ན་ཁ་ — «осенняя пора»; དར་ཁ་ — «летняя пора»; ལ་ཁ་ — «победитель»; 3) ག་ после ང་མ་འ་ и после всякой гласной буквы, например: ང་ག་ — «кишки», «внутренности»; གམ་ག་ — «все три»; ་ག་ — «гора». Эти три частицы, впрочем, нередко между собой мешаются. ","","","1","","19","","","=""ཁ་  ""","","","","ཁ་  ",""
"[SH]","§ 30. ཀ་ཁ་ག་ — все три представляют нечто в виде определённого члена; они употребляются по следующим правилам: 1) 4J после конечных букв: ག་ད་བ་ས་; например: ག་ཀ་ — «все шесть»; དད་ཀ་ — «весенняя пора»; བ་ཀ་ — «запад»; གས་ཀ་ — «оба»; 2) ཁ་ после конечных букв: ན་ར་ལ་; например: ན་ཁ་ — «осенняя пора»; དར་ཁ་ — «летняя пора»; ལ་ཁ་ — «победитель»; 3) ག་ после ང་མ་འ་ и после всякой гласной буквы, например: ང་ག་ — «кишки», «внутренности»; གམ་ག་ — «все три»; ་ག་ — «гора». Эти три частицы, впрочем, нередко между собой мешаются. ","","","2","","10","","","=""ག་  ""","","","","ག་  ",""
"[SH]","§ 31. ང་, འང་ и ཡང་ — все три соответствуют союзам «тоже», «хотя», «также» и употребляются по следующим правилам: 1) ང་ следует после ག་ད་བ་ས་, например: འག་ང་ — «хотя оно и есть»; ད་ང་ —<<ты также >; བ་ང་ — «хотя бы он нашёл»; ས་ང་ — «хотя он знает»; 2) འང་ стоит после гласной буквы, например: ངའང་ — «и я»; འང་ — «чтобы то ни было»; འའང་ — «хотя он идёт»; 3) ཡང་ употребляется после ང་ན་མ་འ་ར་ལ་ и после всех гласных, например: གང་ཡང་ — «кто бы он ни был»; ན་ཡང་ — «истинная цена»; ནམ་ཡང་ — «навсегда», или отрицательно «никогда»; མར་ཡང་ — «и масла»; ལ་ཡང་་འག་ — «там нет даже жилого места». [SH]   ","","","3","","8","","","=""ང་  ""","","","","ང་  ",""
"[SH]","§ 31. ང་, འང་ и ཡང་ — все три соответствуют союзам «тоже», «хотя», «также» и употребляются по следующим правилам: 1) ང་ следует после ག་ད་བ་ས་, например: འག་ང་ — «хотя оно и есть»; ད་ང་ —<<ты также >; བ་ང་ — «хотя бы он нашёл»; ས་ང་ — «хотя он знает»; 2) འང་ стоит после гласной буквы, например: ངའང་ — «и я»; འང་ — «чтобы то ни было»; འའང་ — «хотя он идёт»; 3) ཡང་ употребляется после ང་ན་མ་འ་ར་ལ་ и после всех гласных, например: གང་ཡང་ — «кто бы он ни был»; ན་ཡང་ — «истинная цена»; ནམ་ཡང་ — «навсегда», или отрицательно «никогда»; མར་ཡང་ — «и масла»; ལ་ཡང་་འག་ — «там нет даже жилого места». [SH]   ","","","4","","5","","","=""འང་  ""","","","","འང་  ",""
"[SH]","§ 31. ང་, འང་ и ཡང་ — все три соответствуют союзам «тоже», «хотя», «также» и употребляются по следующим правилам: 1) ང་ следует после ག་ད་བ་ས་, например: འག་ང་ — «хотя оно и есть»; ད་ང་ —<<ты также >; བ་ང་ — «хотя бы он нашёл»; ས་ང་ — «хотя он знает»; 2) འང་ стоит после гласной буквы, например: ངའང་ — «и я»; འང་ — «чтобы то ни было»; འའང་ — «хотя он идёт»; 3) ཡང་ употребляется после ང་ན་མ་འ་ར་ལ་ и после всех гласных, например: གང་ཡང་ — «кто бы он ни был»; ན་ཡང་ — «истинная цена»; ནམ་ཡང་ — «навсегда», или отрицательно «никогда»; མར་ཡང་ — «и масла»; ལ་ཡང་་འག་ — «там нет даже жилого места». [SH]   ","","","5","","13","","","=""ཡང་  ""","","","","ཡང་  ",""
"[SH]","§ 32. ་་་་ или ་ — все обозначают родительный падеж: 1) ་ ставится после конечных букв ད་བ་ས་, например: ད་་ — «Тибета»; བ་་ — «запада»; མས་་ — «духа»; 2) ་ следует после ག་ и ང་, например: བདག་་ — «моё», «моего»; ང་་ — «дерева»; 3) ་ ставится после ན་མ་ར་ལ་ например: ན་་ — «цены»; ལམ་་ — «дороги»; གར་་ — «золота»; ལ་་ — «страны»; 4) ་ и ་ ставятся после гласных окончаний, например: ལག་པ་ — «руки»;  или ་་ «человека», «человеческий». ","","","6","","11","","","=""་  ""","","","","་  ",""
"[SH]","§ 32. ་་་་ или ་ — все обозначают родительный падеж: 1) ་ ставится после конечных букв ད་བ་ས་, например: ད་་ — «Тибета»; བ་་ — «запада»; མས་་ — «духа»; 2) ་ следует после ག་ и ང་, например: བདག་་ — «моё», «моего»; ང་་ — «дерева»; 3) ་ ставится после ན་མ་ར་ལ་ например: ན་་ — «цены»; ལམ་་ — «дороги»; གར་་ — «золота»; ལ་་ — «страны»; 4) ་ и ་ ставятся после гласных окончаний, например: ལག་པ་ — «руки»;  или ་་ «человека», «человеческий». ","","","7","","8","","","=""་  ""","","","","་  ",""
"[SH]","§ 32. ་་་་ или ་ — все обозначают родительный падеж: 1) ་ ставится после конечных букв ད་བ་ས་, например: ད་་ — «Тибета»; བ་་ — «запада»; མས་་ — «духа»; 2) ་ следует после ག་ и ང་, например: བདག་་ — «моё», «моего»; ང་་ — «дерева»; 3) ་ ставится после ན་མ་ར་ལ་ например: ན་་ — «цены»; ལམ་་ — «дороги»; གར་་ — «золота»; ལ་་ — «страны»; 4) ་ и ་ ставятся после гласных окончаний, например: ལག་པ་ — «руки»;  или ་་ «человека», «человеческий». ","","","8","","8","","","=""་  ""","","","","་  ",""
"[SH]","§ 32. ་་་་ или ་ — все обозначают родительный падеж: 1) ་ ставится после конечных букв ད་བ་ས་, например: ད་་ — «Тибета»; བ་་ — «запада»; མས་་ — «духа»; 2) ་ следует после ག་ и ང་, например: བདག་་ — «моё», «моего»; ང་་ — «дерева»; 3) ་ ставится после ན་མ་ར་ལ་ например: ན་་ — «цены»; ལམ་་ — «дороги»; གར་་ — «золота»; ལ་་ — «страны»; 4) ་ и ་ ставятся после гласных окончаний, например: ལག་པ་ — «руки»;  или ་་ «человека», «человеческий». ","","","9","","6","","","=""་  ""","","","","་  ",""
